Gene names,2015 Dill LPS Late
Mcoln1,0.647913311
Mcoln2,1.296466828
Mdh1,1.013503334
Mdh2,0.603316594
Me2,0
Mef2bnb;2310045N01Rik,1.092633309
Mesdc2,0.442916668
Mettl3,0.525666681
Mettl7a1;Mettl7a2-Higd1c;Ubie;Mettl7a2;Mettl7a3;AB099516,1.121746686
Mfge8,1.200210019
Mfsd1,1.46910004
Mfsd12,1.093599992
Mfsd7,0.38383333
Mfsd8,1.18136666
Mgat1,0
Mgp,0.383733361
Mia3,1.68789987
Mic1,1.280166653
Milr1,0.402959971
Mki67,1.500433493
Mlec,1.25953338
Mlst8,0.372899999
Mob1b;Mob1a,0.322473327
Mob4,0.768576687
Mon1a,1.335133326
Mon1b,1.322100002
Mpdu1,0.311663331
Mpeg1,0.581886667
Mpo,0.949393338
Mpp1,1.402066664
Mrc1,0.465829956
Ms4a4c,0.438790049
Msn,0.889916684
Msr1,0.373296652
Msra,0
Mtatp8;mt-Atp8,0.451000019
Mtch2,0.693799994
Mtco1;mt-Co1,0.552056684
Mtco2;mt-Co2,1.125533331
Mtdh,0.307073319
Mtss1,1.101273297
Mvp,0.91910999
Myadm,1.276533374
Myh14,0.30437667
Myh9,0.558640072
Myl12a;Myl12b;Myl9,0.841653316
Myl3;Myl1,1.421033357
Myl6,1.08973329
Myo1c,0.418933367
Myo1e,0.659563346
Myo1f,0.922043349
Myo1g,0.579810008
Myo5a,0.865959993
Myof,0.477843319
Naaa,1.209766638
Naca,1.292899985
Naga,1.132336679
Naglu,0.841289991
Nagpa,0.599653333
Nap1l1,0.784343346
Napa,1.028259978
Napg,1.001586675
Napsa,1.965666499
Nceh1,1.202453311
Ncf1,0.73646332
Ncf2,0.357600014
Nckap1l,1.12842998
Ncl,0.699263412
Ncoa3,1.444599836
Ncor1,0.383533313
Ncstn,0.569376671
Nde1;Ndel1,1.37368334
Ndufa10,0
Ndufa4,0.745973334
Ndufa6,0.478400002
Ndufc2,0.418666677
Ndufs1,0.535836678
Ndufs2,0
Ndufs3,0.217920013
Ndufv1,0.262340018
Ndufv2,0
Neb,0.415729968
Necap2,1.280013348
Nek2,0.220023289
Neu1,1.028626701
Nfam1,0.207910006
Nfatc2ip,0.905299978
Nhlrc3,0.629583346
Nhp2l1,0
Nhsl2,1.430233355
Nin,0.659840018
Nipsnap3b,0.211633321
Nisch,0
Nmt1;Nmt2,0
Nob1,1.138690022
Nomo1,0.315096676
Nono,1.418766579
Npc1,1.255133372
Npc2,0.426359968
Npm1,0.940139996
Nptn,0.731199982
Nrp1,0.527966667
Nrp2,0.975836648
Nsdhl,1.189666665
Nsf,0.985589992
Nucb1,0.707926675
Nucb2,0.867856665
Nudc,0.934556654
Numa1,1.105273318
Numb,0.949156668
Numbl,0.701410043
Nup54,0.177149991
Nup62,0.472333347
Nutf2,0.43313333
Oas1a;Oas1g,0.923280034
Oas3,0.820626683
Oat,0.63688336
Ogdh,0.717666667
ORF3,0
Osbp,1.104406671
Osbpl11,1.462100029
Osbpl1a,0.897380011
Osbpl6,0.338586672
Osbpl8,0.903420018
Osbpl9,1.251000031
Ostf1,1.181450029
Ostm1,1.339733332
Otud7a,2.362466265
Oxct1,0.526470005
P2rx4,1.359993315
P2rx7,0.737890014
P33monox;4833439L19Rik,0
P4hb,1.144633301
Pa2g4,0.788943289
Pabpc1;Pabpc6,0.569273337
