Gene names,2015 Dill Mannan Late
Gpr137b,1.06277997
Gpsm3,0.30221666
Gpx1,1.102066695
Gpx4,0.756313353
Grap2,0
Grb2,0.667216663
Grn,0.842026667
Grpel1,0
Gsdmdc1,0
Gsn,0.930783354
Gstk1,0
Gstm1,0.835666671
Gtf2f1,0.826173354
Gtf2f2,1.803900265
Gusb,0.416609979
Gvin1,0.699486652
H1f0,1.010646648
H2-Aa,0.956883352
H2-Ab1,1.123810016
H2-D1,0.58248668
H2-D1;H2-L,0.695890013
H2-DMa,0.343570044
H2-DMb1;H2-DMb2,0.862813352
H2-K1,0.610709981
H2-T23,0
H2afx,1.090750001
H2afy,0.578583355
H2afz;H2afv,1.150700048
Hadha,0.82623665
Hadhb,0.792296673
Hba;Hba-a1,0
Hbxip,2.024466576
Hck,0.767743364
Hcls1,1.375000007
Hdac1;Gm10093,0.38886668
Hdhd2;Ier3ip1,0.410966707
Heatr7a,1.504400016
Hexa,1.010079986
Hexb,1.038119976
Hfe,0.388566668
Hgs,0.237026704
Hgsnat,1.317566677
Hint2,0
Hist1h1a,0.732543281
Hist1h1b,0.775873355
Hist1h1c,0.674916701
Hist1h1d,0.732963369
Hist1h1e,0.954423309
Hist1h2af;Hist1h2ab;Hist3h2a;Hist1h2ah,1.087426679
Hist1h3b;Hist1h3a,0.844466647
Hist1h4a,1.204406665
Hist2h2aa1;Hist1h2al;Hist2h2ac,3.091632798
Hist3h2bb;Hist3h2ba,0.202259995
Hk1,0.839236658
Hk2,0.407200009
Hm13;H13,0.794196664
Hmga1,0
Hmga2,0
Hmgb1,1.561010116
Hmgb2,1.047756702
Hmgcl,0.371800043
Hmgn2,0
Hmha1,0.678363327
Hmox1,1.232300019
Hmox2,1.094720031
Hn1l,2.504866549
Hnrnpa0,1.274899993
Hnrnpa1,0.632819976
Hnrnpa2b1,0.737726681
Hnrnpa3;Gm6793;Gm8991,0.894086651
Hnrnpab,0
Hnrnpc,0.766766684
Hnrnpd,0.957566658
Hnrnpf,1.620633245
Hnrnph1,1.572513574
Hnrnpk;Gm7964,1.104726666
Hnrnpl,0.907126681
Hnrnpm,1.228199984
Hnrnpu,0.627619998
Hp1bp3,0.824973326
Hpcal1;Hpca,0.634130026
Hps1,0.693270016
Hps3,0
Hps4,1.642999993
Hpse,1.273633377
Hras1,0.858283319
Hs2st1,0.277983345
Hsd17b10,0.928269968
Hsd17b11,0.813033311
Hsd17b12,0.873033331
Hsd17b4,0.480236636
Hsdl1,0
Hsp90aa1,0.790886662
Hsp90ab1,0.750503342
Hsp90b1,0.806723347
Hspa4,0.899320023
Hspa5,1.028206661
Hspa8,0.948540006
Hspa9,0.611806702
Hspd1,0.662086642
Hspe1,0.544633308
Hspg2,0
Htatip2,0.798423301
Hvcn1,0.484066647
Hyal1,0.946259996
Hyou1,0.910860026
Icam1,0.701986669
Idh1,0.705563334
Idh2,0.646716671
Idh3a,0.27683
Idh3b,0.323493341
Idh3g,0
Ids,0.996016651
Idua,1.236566676
Ifi204,1.079966668
Ifi205b,1.447416514
Ifi30,0.929573334
Ifit1,0.539600017
Ifitm2,0.398216604
Ifitm3,0.755416652
Ifngr1,0
Igbp1,0
Igf2r,0.529116702
Igsf6,0.51556336
Igtp,0.93262336
Il16,1.181513364
Ilk,0.65324332
Ilvbl,0
Inf2,0.441463354
Inpp5d,0.711256652
Iqgap1,0.787740016
Iqgap2,0
Irf2bp2,1.231726642
Irgm1,1.122500002
Irgm2,1.03650003
Isg15,0.841539988
Isg20,0.340933323
Ist1,0.880306655
Itch,0.909933381
Itga4,0.849813309
Itga5,0.731299992
Itga6,0.56523997
Itgam,0.489376679
Itgav,0.565076674
Itgax,0.459359974
Itgb1,0.487403344
Itgb2,0.456896596
Itgb5,0.534819957
Itm2b,0.582789998
Itsn2,0.738986646
Jak1,1.36551983
Jup,0.213023323
Kat2a,0
Kcnab2,0.492006663
Kcnk6,1.54566668
Kcnn4,0.84483334
Kctd12,1.260199992
Kdelr1,0.375216693
Kdm1a,0
Kdm3b,0.901199971
Khdrbs1,0.693006663
Khsrp,1.078433366
Kiaa0196,0.679966673
Kiaa0226;1700021K19Rik,1.81293336
Kiaa0907,0.248433339
Kiaa1033,0.540473298
Kiaa1598,0.281133328
Kiaa1671,0.610016647
Kif13b,0
Kif16b,0.640206653
Kif1a,1.609299925
Kif5b,0.582620004
Kpnb1,1.111249949
Kras,1.1452
Krt28;Krt24,3.332799981
Krt76,3.79426601
Lamp1,1.368266673
Lamtor1,2.347399528
Lamtor2,1.772533119
Lamtor3,1.500666661
Lancl1,0
Laptm5,0.238926625
Lasp1,1.707033318
Lat2,0
Lbr,0.86249999
Lcp1,1.005793344
Lcp2,1.090396675
Ldha,0.768176652
Ldlr,0.248529997
Lgals1,0.863476657
Lgals3,1.383399991
Lgals3bp,0.877633334
Lgals3bpF6VRP8,0.817006644
Lgals8,1.18596669
Lgals9,0.931046638
Lgmn,0.983353306
Lig1,0.729776666
Lilrb3,0.509906739
Lilrb4,0.411340005
Lima1,1.262670025
Limd2,1.316866698
Lims1,1.290466404
Lin7c;Lin7a,0.655866685
Lipa,0.881563352
Lman1,0.935130002
Lman2,0.868920013
Lmbrd1,1.061123311
Lmbrd2,0.763119993
