Gene names,2015 Dill LPS Early
Lrp1,1.822199773
Lrp1b,1.62160021
Lrpap1,1.121286674
Lrpprc,0.955356663
Lrrc25,2.322700646
Lrrc57,0.921433341
Lrrc59,0.944456656
Lrrc8c,1.302966734
Lsp1,1.45376662
Lss,0.820700018
Ly86,0.765426719
Ly9,2.181933308
Lyn,1.506033366
Lypla2,0
Lyz1,0.269146713
Lyz2,0.725556665
M6pr,1.650833475
Macf1,0.968616658
Magt1,0.473333324
Man1a1,0.403506646
Man1c1,0
Man2a1,0.877056676
Man2b1,0.752096671
Man2b2,0.763603367
Manba,0.67242671
ManbaQ8K2I4,0.653723328
Manf,0.926000013
Map1s,0
Map2k1;Map2k2,1.68226696
Map2k4,0
Map3k11,1.787866851
Map4;Mtap4,1.129066662
Mapre1,0.490973343
Marc2;Mosc2,0.196286655
Marcks,0.861676644
Marcksl1,0.577703327
Mark2,0.787566659
Matr3,0.800266667
Mavs,0
Mboat7,0
Mbp,0.779083322
Mcl1,0.907069984
Mcoln1,0.464556688
Mcoln2,0.551990005
Mdh1,0.369566681
Mdh2,0.918986699
Me2,0
Mef2bnb;2310045N01Rik,0
Mesdc2,0.273243333
Mettl3,0
Mettl7a1;Mettl7a2-Higd1c;Ubie;Mettl7a2;Mettl7a3;AB099516,0.766123307
Mfge8,1.175169995
Mfsd1,0.692536673
Mfsd12,0.611316652
Mfsd7,0.286480014
Mfsd8,0.584653336
Mgat1,0.237860002
Mgp,0.362033323
Mia3,0.711360011
Mic1,0.733256697
Milr1,1.861966553
Mki67,0.402033325
Mlec,1.049636668
Mlst8,0
Mob1b;Mob1a,0.503563314
Mob4,0.893163372
Mon1a,0.944739979
Mon1b,0.81779332
Mpdu1,0
Mpeg1,0.614440018
Mpo,0.707730003
Mpp1,1.38860003
Mrc1,1.555999749
Ms4a4c,0.783626643
Msn,2.340800146
Msr1,1.736633376
Msra,0
Mtatp8;mt-Atp8,0.664883313
Mtch2,0.324449995
Mtco1;mt-Co1,1.386176685
Mtco2;mt-Co2,1.127656647
Mtdh,0.660416696
Mtss1,1.498266661
Mvp,0.929913318
Myadm,2.23236678
Myh14,0.833576654
Myh9,1.085210002
Myl12a;Myl12b;Myl9,1.522066618
Myl3;Myl1,1.353700004
Myl6,1.455499984
Myo1c,0
Myo1e,0.813820014
Myo1f,1.199799995
Myo1g,1.929766987
Myo5a,1.011616669
Myof,1.621999987
Naaa,0.483829976
Naca,1.145526647
Naga,0.931590009
Naglu,0.706350024
Nagpa,1.312400026
Nap1l1,0
Napa,1.21633331
Napg,1.12393665
Napsa,0.664133289
Nceh1,0.797630012
Ncf1,0.635933316
Ncf2,0.260709995
Nckap1l,1.295200028
Ncl,0.86937334
Ncoa3,0.874026683
Ncor1,0.526966662
Ncstn,0.743479998
Nde1;Ndel1,0.477600019
Ndufa10,0.104000005
Ndufa4,0.895433317
Ndufa6,0.670699996
Ndufc2,0.484133322
Ndufs1,0.630203338
Ndufs2,0.277680005
Ndufs3,0.284459999
Ndufv1,0
Ndufv2,0
Neb,1.560706613
Necap2,0.909866654
Nek2,0.523100009
Neu1,0.703503325
Nfam1,1.720933342
Nfatc2ip,0.220266668
Nhlrc3,0.959916708
Nhp2l1,0
Nhsl2,0
Nin,0.826509995
Nipsnap3b,0.169963339
Nisch,1.78916639
Nmt1;Nmt2,0
Nob1,0.834733455
Nomo1,0
Nono,0.66176333
Npc1,0.593333327
Npc2,0.741119978
Npm1,1.424300013
Nptn,1.64593336
Nrp1,1.924999893
Nrp2,1.640933289
Nsdhl,0.90259332
Nsf,1.180969999
Nucb1,0.702836697
Nucb2,0.354150004
Nudc,0.980900024
Numa1,0.996416691
Numb,1.584066841
Numbl,0.889533305
Nup54,0.598900026
Nup62,0.81236332
Nutf2,0.636123327
Oas1a;Oas1g,0.865050023
Oas3,1.455299999
Oat,0.934360003
Ogdh,0.815886664
ORF3,0
Osbp,0.13441998
Osbpl11,0.763043348
Osbpl1a,0.842643326
Osbpl6,0.084200027
Osbpl8,1.388066664
Osbpl9,0.633523346
Ostf1,1.079899989
Ostm1,0.771949971
Otud7a,0
Oxct1,0.705303324
P2rx4,0.530496667
P2rx7,1.323899989
P33monox;4833439L19Rik,0
P4hb,1.027416636
Pa2g4,1.296233345
Pabpc1;Pabpc6,0.96858002
Paics,0.979486667
Paip1,0
Pak2,0
Parp1,0.657983296
Parp14,0.375733329
Pcbp1,1.176256707
Pcbp2;Pcbp3,1.358266669
Pcdhb2,0
Pck2,1.306143392
Pcmt1,0
Pcna,1.136643339
Pcnp,0.604966675
Pcyox1,0.842933344
Pcyox1l,0.906453344
Pcyt1a,0.327013334
Pdcd6,0.762146664
Pdcd6ip,0.867439999
Pdha1,0.714346693
